Course Code,Title,GERs,Description,Units,Grading,Component,Days,Time,Location,Instructors,Final Exam
ENGR203,Public Speaking (ENGR 103),,"Priority to Engineering students. Introduction to speaking activities, from impromptu talks to carefully rehearsed formal professional presentations. How to organize and write speeches, analyze audiences, create and use visual aids, combat nervousness, and deliver informative and persuasive speeches effectively. Weekly class practice, rehearsals in one-on-one tutorials, videotaped feedback. Limited enrollment.",3,Letter or Credit/No Credit,PRA,Wednesday,6:00:00 PM - 8:50:00 PM,,Matt Vassar,No
ENGR204R,Designing Your Spiritual Life (ENGR 104R),,"An atheist, an Imama, a Reverend, a designer and a Rabbi walk into a juice bar. They apply human centered design to integrate spirituality into everyday life and vocational wayfinding, and the result is a class that explores spiritual needfinding, designing and prototyping spiritual rituals, and creating odysseys with coherence/spiritual health as a gauge for students to reflect on. Designing Your Spiritual Life will introduce the innovative problem-solving methodology of design thinking within the context of &quot;life design for students with a spiritual focus,&quot; with two main objectives: 1. to serve as an affinity space for students who are interested in multifaith discussions on spiritual wellness, and 2. to equip these students with practical ideas and tools with which they can proactively craft their life experiences. Students are not expected to be adherents of or have expertise in religious practices and traditions or background in religious scholarship. Seekers, students of faith and no faith are all welcome. This class includes seminar-style and small-group discussions, activities, personal written reflections, and individual mentoring/coaching. In this experiential class, students will engage in meaningful, spiritual dialogue and explore ways to nurture meaning and purpose in their daily lives.",2,Satisfactory/No Credit,PRA,Wednesday,5:30:00 PM - 7:20:00 PM,Departmental Room,Kathleen Davies; Junaid Aziz; Amina Darwish,No
ENGR209A,Analysis and Control of Nonlinear Systems,,"Introduction to nonlinear phenomena: multiple equilibria, limit cycles, bifurcations, complex dynamical behavior. Planar dynamical systems, analysis using phase plane techniques. Describing functions. Lyapunov stability theory. SISO feedback linearization, sliding mode control. Design examples. Prerequisite: 205.",3,Letter (ABCD/NP),DIS,, - ,,,Yes
ENGR231,Transformative Design,,In this course students are asked to experiment with transformations in their lives which both bring their actions and principles into fuller alignment and incorporate tools which give them more mastery in dealing with the negatives in their environment and lives. We start by assessing where we are now in important aspects of our lives. Then we compare these with where we would like to be. Then we work with partners to close the gap. Then we look at negatives in our lives and develop tools to transcend the negatives.,3,Satisfactory/No Credit,SEM,"Tuesday, Thursday",10:30:00 AM - 11:50:00 AM,Departmental Room,Aleta Hayes; Jeremy Utley,
ENGR241,Advanced Micro and Nano Fabrication Laboratory,,"This project course focuses on developing fabrication processes for ExFab, a shared facility that supports flexible lithography, heterogeneous integration, and rapid micro prototyping. Team projects are approved by the instructor and are mentored by an SNF staff member and an external mentor from industry. Students will plan and execute experiments and document them in a final presentation and report, to be made available on the lab's Wiki for the benefit of the Stanford research community. Students must consult with Prof. Fan, SNF staff, and an external mentor, and also need to submit an approved proposal before signing up.",3,Letter (ABCD/NP),LAB,"Tuesday, Thursday",4:30:00 PM - 5:50:00 PM,,Debbie Senesky,No
ENGR245,The Lean LaunchPad: Getting Your Lean Startup Off the Ground,,"Learn how to turn a technical idea from a lab, research, or vision into a successful business using the Lean Launchpad process (business model canvas, customer development, running experiments, and agile engineering.) Hands-on experiential class. 15+ hours per week talking to customers, regulators and partners outside the classroom, plus time building minimal viable products. This class is the basis of the National Science Foundation I-Corps with a focus on understanding all the components to build for deep technology and life science applications. Team applications required in March. Proposals may be software, hardware, or service of any kind. See course website http://leanlaunchpad.stanford.edu/. Prerequisite: interest in and passion for exploring whether your technology idea can become a real company. Limited enrollment.",4-5,Letter (ABCD/NP),DIS,Wednesday,5:30:00 PM - 8:20:00 PM,,,No
ENGR289,"Career Building: Entrepreneurship / Intrapreneurship, People, Innovation, Decision-Making and Impact (CHEMENG 189, CHEMENG 289, RAD 189, RAD 289)",,"This course is designed to enable graduate students and advanced undergraduate students in science and engineering to hone strategies for career success. Drawing strongly on entrepreneurial principles and lessons from industry, the course complements the traditional curriculum by focusing on career-building tools that students need to improve their professional prospects and achieve their goals. Relevant for those who plan to pursue careers in academia and industry alike, a central focus will be on managing one's career as if it were a start-up, emphasizing principles that empower individuals to take more control of their futures: investing in yourself, building professional networks, taking intelligent risks, and making uncertainty and volatility work to one's advantage. Through a series of in-classroom presentations and interviews - with professors, entrepreneurs, executives, athletes, investors, and thought leaders from diverse fields and sectors - students will gain important knowledge and practical strategies, with course modules on topics such as ideation and innovation, the skill of self-advocacy, the fundamentals of negotiation, building and managing teams, and effective communication and storytelling. Additional modules will focus on biotechnology and deep tech start-up companies, as well as strategies for cultivating a successful academic career. The idea for this course emerged from the instructor's reflections on 30 years of research, teaching, mentorship, and deep entrepreneurial experiences spanning the gamut of approaches to translational science - academic discovery, invention, conceiving of and leading multi-institutional research centers, building research and business teams, launching and financing start-ups, building business models to advance real-world applications of cutting-edge science, and seeing through research-based companies to success (including growing an idea into a multi-billion dollar company). For this course, students will be expected to complete relevant reading assignments, participate actively in class dialogue, and complete regular writing assignments focused on course topics as they relate to ones own career-building needs and professional aspirations. Students may also have opportunities to lead class discussions on topics of interest.",3,Letter or Credit/No Credit,LEC,, - ,,,Yes
ENGR295,"Learning & Teaching of Science (CTL 280, EDUC 280, MED 270, PHYSICS 295)",,"This course will provide students with a basic knowledge of the relevant research in cognitive psychology and science education and the ability to apply that knowledge to enhance their ability to learn and teach science, particularly at the undergraduate level.  Course will involve readings, discussion, and application of the ideas through creation of learning activities.  It is suitable for advanced undergraduates and graduate students with some science background.",3,Medical Option (Med-Ltr-CR/NC),LEC,"Tuesday, Thursday",3:00:00 PM - 4:20:00 PM,,Gloriana Trujillo; Carl Wieman,No
ENGR298,Seminar in Fluid Mechanics,,"Interdepartmental. Problems in all branches of fluid mechanics, with talks by visitors, faculty, and students. Graduate students may register for 1 unit, without letter grade; a letter grade is given for talks. May be repeated for credit.",1,Satisfactory/No Credit,COL,Tuesday,4:30:00 PM - 5:20:00 PM,300-300,Parviz Moin,No
ENGR299,Special Studies in Engineering,,"Special studies, lab work, or reading under the direction of a faculty member. Often research experience opportunities exist in ongoing research projects. Students make arrangements with individual faculty and enroll in the corresponding section. Prerequisite: consent of instructor.",1-15,Letter or Credit/No Credit,INS,, - ,,Brad Osgood,No
ENGR304D,Designing Your Life,,"The course employs a design thinking approach to help fellows develop a point of view about their life and career. The course focuses on an introduction to design thinking, the integration of work and worldview, and practices that support vocation formation. Includes seminar-style discussions, role-playing, short writing assignments, guest speakers, and individual mentoring and coaching. Open to DCI (Distinguished Career Institute) Fellows only. Additional course information at http://www.designingyourlife.org.",1,Satisfactory/No Credit,SEM,Wednesday,5:30:00 PM - 6:20:00 PM,Departmental Room,David Evans,No
ENGR306,Capital-Formation Design Theory in Practice,,"Wonder drives the best kinds of innovation and its injection into human endeavors can be designed and engineered. This course is for innovators of all academic backgrounds who have big ideas for creating new knowledge, agreements, products, services, or experiences. To do that, they need to master the science of capital formation. Capital is commonly thought of as money, but that's just one of its many forms; there is also human capital, process capital, intellectual capital, cultural capital, and natural capital. Knowing how to gather and nurture all these forms of capital is vital to any new venture. Students will practice high-performance team behaviors for capital formation, and they will engage in multiple projects to apply design theories to practical situations. Please complete this form: https://forms.gle/oLJkRTz8sWri2Mis6 before the first class.",1-3,Letter (ABCD/NP),LBS,Thursday,3:00:00 PM - 3:50:00 PM,Departmental Room,Ade Mabogunje; Helen Chen; Phillip Wickham; Diana Chapman,Yes
ENGR311B,Designing the Professional,,"Wondering how to weave together what really fits you, is doable, and will be satisfying and meaningful? Have more questions than answers? Have too many ideas for your career, or not enough? This course applies the mindsets and innovation principles of design thinking to the &quot;wicked problem&quot; of designing your life and vocation. Students gain awareness and empathy, define areas of life and work on which they want to work, ideate about ways to move forward, try small prototypes, and test their assumptions. The course is highly interactive. It will conclude with creation of 3 versions of the next 5 years and prototype ideas to begin making those futures a reality. The course will include brief readings, writing, reflections, and in-class exercises. Expect to practice ideation and prototyping methodologies, decision making practices and to participate in interactive activities in pairs, trios, and small groups. Seminar open to all graduate students and Postdocs in all 7 schools. Additional course information at http://lifedesignlab.stanford.edu/dtp.",1-2,Satisfactory/No Credit,SEM,Wednesday,5:30:00 PM - 7:20:00 PM,Departmental Room,William Burnett; Kathleen Davies; Mariel Rosic; Deepak Ramola,Yes
ENGR311D,Portfolio to Professional: Supporting the Development of Digital Presence Through ePortfolios,,"This course guides graduate students in creating a professional ePortfolio and establishing an online presence. The course includes seminar-style presentations and discussions, opportunities for feedback with career mentors, classmates, alumni, employers, and other community members using think-aloud protocols and peer review approaches. Curriculum modules focus on strategies for telling your story in the digital environment, platform considerations, evidence and architecture, visual design and user experience. Open to all graduate students and majors.",1,Satisfactory/No Credit,SEM,, - ,,,No
ENGR319,Robotics and Autonomous Systems Seminar,,"Seminar talks by researchers and industry professionals on topics related to modern robotics and autonomous systems. Broadly, talks will cover robotic design, perception and navigation, planning and control, and learning for complex robotic systems. May be repeated for credit.",1,Satisfactory/No Credit,COL,Friday,3:00:00 PM - 4:15:00 PM,Packrd101,Shuran Song; Chuer Pan; Hao Li; Marco Pavone; Mark Cutkosky,No
MS&E111X,Introduction to Optimization (Accelerated) (MS&E 211X),WAY-AQR,"Introduction to optimization theory, modeling, structure, and methods with focus on the mathematical foundations. Accelerated introduction to linear programming, nonlinear optimization, and optimization algorithm design. Prerequisite: CME 100 or MATH 51 or equivalent.",3-4,Letter or Credit/No Credit,DIS,Friday,1:30:00 PM - 2:50:00 PM,,,Yes
MS&E125,Introduction to Applied Statistics,,"An increasing amount of data is now generated in a variety of disciplines, ranging from finance and economics, to the natural and social sciences. Making use of this information, however, requires both statistical tools and an understanding of how the substantive scientific questions should drive the analysis. In this hands-on course, we learn to explore and analyze real-world datasets. We cover techniques for summarizing and describing data, methods for statistical inference, and principles for effectively communicating results. Recommended: 120, CS 106A, or equivalents.",4,Letter or Credit/No Credit,LEC,"Tuesday, Thursday",1:30:00 PM - 2:50:00 PM,Hewlett Teaching Center 201,Alex Patel; Mike Van Ness; Camila Nicollier Sanchez; Elizabeth Griffin; Louisa Edwards,Yes
MS&E140,Accounting for Managers and Entrepreneurs (MS&E 240),,"Non-majors and minors who have taken or are taking elementary accounting should not enroll. Introduction to accounting concepts and the operating characteristics of accounting systems. The principles of financial and cost accounting, design of accounting systems, techniques of analysis, and cost control. Interpretation and use of accounting information for decision making. Designed for the user of accounting information and not as an introduction to a professional accounting career.",3,Letter or Credit/No Credit,LEC,"Monday, Wednesday",9:00:00 AM - 11:00:00 AM,,John Lord,No
MS&E149,Hedge Fund Management,,"Introduction to hedge fund management. Students actively manage the $1MM Stanford Kudla Fund employing Equity Long/Short, Macro and Quantitative Investment Strategies. Modeled after a hedge fund partnership culture, participation involves significant time commitment, passion for investing, and uncommon teamwork and communication skills. Open to advanced undergraduate and graduate students with continuing participation expectation. Limited to 12 students. Enrollment by application and permission of Instructor. May be repeated for credit.",1-2,Satisfactory/No Credit,SEM,Wednesday,5:00:00 PM - 6:20:00 PM,Departmental Room,Lisa Borland,No
MS&E176,Social Entrepreneurship,,"In-depth exploration of social entrepreneurship, focusing on leveraging business skills and strategies to creatively address societal challenges. Explore the social entrepreneurship process, including key business models, funding strategies, and the challenges encountered by social entrepreneurs. Features guest speakers from social enterprises and includes group projects where students develop feasibility studies and investment pitches for hypothetical social ventures. Through lectures, case studies, and class discussions, students gain the knowledge and skills to identify and cultivate business opportunities that generate positive social impacts. Designed for advanced undergraduate students.",3,Letter or Credit/No Credit,LEC,"Tuesday, Thursday",9:00:00 AM - 10:20:00 AM,,Manish Raj,No
MS&E178,Entrepreneurship: Principles & Perspectives,,"This course uses the speakers from the Entrepreneurial Thought Leader seminar (MS&amp;E472) to seed discussions around core topics in entrepreneurship. Students are exposed to a variety of guest speakers and lecturers. Topics change each quarter based on the speakers but cover foundational concepts: e.g. resilience, discovery, leadership, strategy, negotiations. Reflection and experiential exercises are used to augment learning. Enrollment limited to 60 students. See note for course application.",2,Letter or Credit/No Credit,LEC,"Monday, Wednesday",5:30:00 PM - 6:20:00 PM,Huang Engineering Center 18,Ravi Belani; Benjamen Gao; Mandy Alevra; Emily Ma,No
MS&E180,Organizations: Theory and Management,,"For undergraduates only. Classical and contemporary organization theory; the behavior of individuals, groups, and organizations. Limited enrollment; preference to declared MS&amp;E majors and seniors from other departments.",3-4,Letter (ABCD/NP),LEC,"Tuesday, Thursday",10:30:00 AM - 11:50:00 AM,Thornton 110,Kathleen Eisenhardt; Michelle Vinocour; Poorva Bhalerao,Yes
MS&E206,Incentives in Computer Science (CS 269I),,"Many 21st-century computer science applications require the design of software or systems that interact with multiple self-interested participants.  This course will provide students with the vocabulary and modeling tools to reason about such design problems.  Emphasis will be on understanding basic economic and game theoretic concepts that are relevant across many application domains, and on case studies that demonstrate how to apply these concepts to real-world design problems.  Topics include auction and contest design, equilibrium analysis, cryptocurrencies, design of networks and network protocols, reputation systems, social choice, and social network analysis.  Case studies include BGP routing, Bitcoin, eBay's reputation system, Facebook's advertising mechanism, Mechanical Turk, and dynamic pricing in Uber/Lyft. Prerequisites: CS106B/X and CS161, or permission from the instructor.",3,Letter or Credit/No Credit,LEC,"Monday, Wednesday",1:30:00 PM - 2:50:00 PM,Gates B1,Aviad Rubinstein,No
MS&E208A,Practical Training,,"MS&amp;E students obtain employment in a relevant industrial or research activity to enhance professional experience, consistent with the degree program they are pursuing. Students submit a statement showing relevance to degree program along with offer letter to the Student Services Office before the start of the quarter, and a 2-3 page final report documenting the work done and relevance to degree program at the conclusion of the quarter. This course may not be repeated. Prerequisite: satisfactory progress toward the relevant MS&amp;E degree. To receive a permission code to enroll, please submit this form: https://forms.gle/bFtMtwJMyaCJRhkf8 with statement and offer letter.",1,Satisfactory/No Credit,ITR,, - ,,Riitta Katila,No
MS&E208B,Practical Training,,"MS&amp;E students obtain employment in a relevant industrial or research activity to enhance professional experience, consistent with the degree program they are pursuing. Students submit a statement showing relevance to degree program along with offer letter to the Student Services Office before the start of the quarter, and a 2-3 page final report documenting the work done and relevance to degree program at the conclusion of the quarter. This course may not be repeated. Prerequisite: satisfactory progress toward the relevant MS&amp;E degree. To receive a permission code to enroll, please submit this form: https://forms.gle/bFtMtwJMyaCJRhkf8 with statement and offer letter.",1,Satisfactory/No Credit,ITR,, - ,,Riitta Katila,No
MS&E208C,Practical Training,,"MS&amp;E students obtain employment in a relevant industrial or research activity to enhance professional experience, consistent with the degree program they are pursuing. Students submit a statement showing relevance to degree program along with offer letter to the Student Services Office before the start of the quarter, and a 2-3 page final report documenting the work done and relevance to degree program at the conclusion of the quarter. This course may not be repeated. Prerequisite: satisfactory progress toward the relevant MS&amp;E degree. To receive a permission code to enroll, please submit this form: https://forms.gle/bFtMtwJMyaCJRhkf8 with statement and offer letter.",1,Satisfactory/No Credit,ITR,, - ,,Riitta Katila,No
MS&E208D,Practical Training,,"MS&amp;E students obtain employment in a relevant industrial or research activity to enhance professional experience, consistent with the degree program they are pursuing. Students submit a statement showing relevance to degree program along with offer letter to the Student Services Office before the start of the quarter, and a 2-3 page final report documenting the work done and relevance to degree program at the conclusion of the quarter. This course may not be repeated. Prerequisite: satisfactory progress toward the relevant MS&amp;E degree. To receive a permission code to enroll, please submit this form: https://forms.gle/bFtMtwJMyaCJRhkf8 with statement and offer letter.",1,Satisfactory/No Credit,ITR,, - ,,Riitta Katila,No
MS&E208E,Part-Time Practical Training,,"MS&amp;E students obtain employment in a relevant industrial or research activity to enhance professional experience, consistent with the degree program they are pursuing. Students submit a statement showing relevance to degree program along with offer letter to the Student Services Office before the start of the quarter, and a 2-3 page final report documenting the work done and relevance to degree program at the conclusion of the quarter. Course may be repeated for credit. Prerequisite: satisfactory progress toward the relevant MS&amp;E degree. To receive a permission code to enroll, please submit this form: https://forms.gle/bFtMtwJMyaCJRhkf8 with statement and offer letter.",1,Satisfactory/No Credit,ITR,, - ,,Riitta Katila,No
MS&E211X,Introduction to Optimization (Accelerated) (MS&E 111X),,"Introduction to optimization theory, modeling, structure, and methods with focus on the mathematical foundations. Accelerated introduction to linear programming, nonlinear optimization, and optimization algorithm design. Prerequisite: CME 100 or MATH 51 or equivalent.",3-4,Letter or Credit/No Credit,DIS,Friday,1:30:00 PM - 2:50:00 PM,,,Yes
MS&E215,Beyond Worst-Case Analysis (CS 264),,"This course is motivated by problems for which the traditional worst-case analysis of algorithms fails to differentiate meaningfully between different solutions, or recommends an intuitively &quot;wrong&quot; solution over the &quot;right&quot; one. This course studies systematically alternatives to traditional worst-case analysis that nevertheless enable rigorous and robust guarantees on the performance of an algorithm.  Topics include: instance optimality; smoothed analysis; parameterized analysis and condition numbers; models of data (pseudorandomness, locality, diffuse adversaries, etc.); average-case analysis; robust distributional analysis; resource augmentation; planted and semi-random graph models. Motivating problems will be drawn from online algorithms, online learning, constraint satisfaction problems, graph partitioning, scheduling, linear programming, hashing, machine learning, and auction theory. Prerequisites: CS161 (required). CS261 is recommended but not required.",3,Letter or Credit/No Credit,LEC,"Monday, Wednesday",1:30:00 PM - 2:50:00 PM,,Ellen Vitercik,Yes
MS&E221,Stochastic Modeling,,"Focus is on time-dependent random phenomena. Topics: discrete time Markov chains, Markov jump processes, queueing theory, and applications. Emphasis on model-building, computation, and related calibration and statistical issues. Prerequisite: 220 or equivalent, or consent of instructor.",3,Letter or Credit/No Credit,LEC,"Tuesday, Thursday",1:30:00 PM - 2:50:00 PM,Gates B3,Peter Glynn,Yes
MS&E233,"Game Theory, Data Science and AI",,"The course will explore applied topics at the intersection of game theory, data science and artificial intelligence. The first part of the course will focus on computational approaches to solving complex games, with applications in developing successful algorithmic agents and explore recent successes in the games of Go, Stratego, Poker and Diplomacy. The lectures will provide the foundations of the methods that underlie these computational game theory methods (rooted in the theory of learning in games) and the assignments will explore implementation of simple variants. The second part of the course will explore the interplay between data science and mechanism design. We will overview topics such as optimizing auctions and mechanisms from data and explore applications in optimizing online auction markets. We will also overview methodologies for learning structural parameters in games and econometrics in games and how these can be used to analyze data that stem from strategic interactions, such as auction data. The third part of the course will explore topics that relate to deploying machine learning and data science pipelines in the presence of strategic behavior. Topics will include A/B testing in markets, with applications to A/B testing on digital platforms such as Uber, Amazon and other matching platforms.",3,Letter or Credit/No Credit,LEC,"Tuesday, Thursday",3:00:00 PM - 4:20:00 PM,,Vasilis Syrgkanis; Keertana Veeramony Chidambaram,Yes
MS&E240,Accounting for Managers and Entrepreneurs (MS&E 140),,"Non-majors and minors who have taken or are taking elementary accounting should not enroll. Introduction to accounting concepts and the operating characteristics of accounting systems. The principles of financial and cost accounting, design of accounting systems, techniques of analysis, and cost control. Interpretation and use of accounting information for decision making. Designed for the user of accounting information and not as an introduction to a professional accounting career.",3,Letter or Credit/No Credit,LEC,"Monday, Wednesday",9:00:00 AM - 11:00:00 AM,,John Lord,No
MS&E243,Energy and Environmental Policy Analysis,,"Concepts, methods, and applications. Energy/environmental policy issues such as  automobile fuel economy regulation, global climate change, research and development policy, and environmental benefit assessment. Group project. Prerequisite: MS&amp;E 241 or ECON 50.",3,Letter or Credit/No Credit,LEC,"Monday, Wednesday",1:30:00 PM - 2:50:00 PM,,James Sweeney,No
MS&E244,Statistical Arbitrage,,"Practical introduction to statistical arbitrage, which typically refers to trading strategies that are bottom up, market neutral, with trading driven by statistical or econometric models. Models may focus on tendency of short term returns to revert, leads/lags among correlated instruments, volume momentum, or behavioral effects. A classic statistical arbitrage program is relatively high frequency over a large universe of stocks and is driven algorithmically. This course discusses a taxonomy of market participants and what motivates trading, data: different types, how to obtain data, timestamps, errors and dirty data, methods of exploring relationships between instruments, forecasting, portfolio construction across a large number of instruments, trading: the execution of portfolio changes in real markets, risks inherent in statistical arbitrage, nonstationarity of relationships due to changes in market regulations, fluctuations in market volatility and other factors, frictions such as costs of trading and constraints and how strategies scale, analysis of strategies. Prepares students with valuable skills for engaging in quantitative trading in a hedge fund or investment bank trading desk, understanding how to evaluate quantitative strategies from the point of view of an investor or asset allocator, including performance evaluation, risk analysis, and strategy capacity analysis. Occasional hands-on data projects supporting weekly topics. Weekly lectures and a final data-driven project. The objective of the final project is to build, test and analyze some kind of statistical arbitrage strategy.  Prerequisites: MS&amp;E 245A or similar, some background in probability and statistics, working knowledge of R, Python or similar computational/statistical package.",3,Letter or Credit/No Credit,LEC,Tuesday,1:30:00 PM - 4:20:00 PM,,David Demers; Greg Zanotti,No
MS&E245B,Advanced Investment Science,,"Formerly MS&amp;E 342. Topics: forwards and futures contracts, continuous and discrete time models of stock price behavior, geometric Brownian motion, Ito's lemma, basic options theory, Black-Scholes equation, advanced options techniques, models and applications of stochastic interest rate processes, and optimal portfolio growth. Computational issues and general theory. Teams work on independent projects. Prerequisite: 245A.",3,Letter or Credit/No Credit,LEC,"Tuesday, Thursday",4:30:00 PM - 5:50:00 PM,Thornton 102,Apaar Sadhwani,
MS&E250B,Project Course in Engineering Risk Analysis,,"Students, individually or in groups, choose, define, formulate, and resolve a real risk management problem, preferably from a local firm or institution. Oral presentation and report required. Scope of the project is adapted to the number of students involved. Three phases: risk assessment, communication, and management. Emphasis is on the use of probability for the treatment of uncertainties and sensitivity to problem boundaries. Prerequisites: engineering risk analysis, decision analysis, or consent of instructor.",3,Letter or Credit/No Credit,WKS,Monday,4:30:00 PM - 6:20:00 PM,Departmental Room,Elisabeth Pate-Cornell; Victoria Li,No
MS&E254,The Ethical Analyst,,"We raise awareness of ethically sensitive situations and provide principles and tools for forming coherent ethical judgments regarding individual, government, or organizational actions.  Students learn ethical theories and tools from which they create their own personal ethical codes and test them against established ethical principles, class discussion, homework, class presentations, and situations from work and life.  The course addresses personal life, human action and relations in society, technology, medicine, coercion, harming, stealing, imposition of risk, deception, and other ethical issues.",3,Letter or Credit/No Credit,LEC,Tuesday,10:30:00 AM - 1:00:00 PM,,Dale Nesbitt,No
MS&E254A,The Ethical Analyst,,"We raise awareness of ethically sensitive situations and provide principles and tools for forming coherent ethical judgments regarding individual, government, or organizational actions.  Students learn ethical theories and tools from which they create their own personal ethical codes and test them against established ethical principles, class discussion, homework, class presentations, and situations from work and life.  The course addresses personal life, human action and relations in society, technology, medicine, coercion, harming, stealing, imposition of risk, deception, and other ethical issues. Limited enrollment.",1,Satisfactory/No Credit,COL,Tuesday,10:30:00 AM - 1:00:00 PM,,Dale Nesbitt,No
MS&E256,Technology Assessment and Regulation of Medical Devices (BIOE 256),,"Regulatory approval and reimbursement for new health technologies are critical success factors for product commercialization. This course explores the regulatory and payer environment in the U.S. and abroad, as well as common methods of health technology assessment. Students will learn frameworks to identify factors relevant to the adoption of new health technologies, and the management of those factors in the design and development phases of bringing a product to market through case studies, guest speakers from government (FDA) and industry, and a course project.",3,Letter or Credit/No Credit,LEC,Friday,9:30:00 AM - 11:20:00 AM,Thornton 102,Jan Pietzsch,No
MS&E256A,Technology Assessment and Regulation of Medical Devices,,"Regulatory approval and reimbursement for new medical technologies as a key component of product commercialization. The regulatory and payer environment in the U.S. and abroad, and common methods of health technology assessment. Framework to identify factors relevant to adoption of new medical devices, and the management of those factors in the design and development phases. Case studies; guest speakers from government (FDA) and industry.",1,Satisfactory/No Credit,COL,Friday,9:30:00 AM - 11:20:00 AM,Thornton 102,Jan Pietzsch,No
MS&E272,Entrepreneurship without Borders,,"How and why does access to entrepreneurial opportunities vary by geographic borders, racial/gender borders, or other barriers created by where or who you are? What kinds of inequalities are created by limited access to capital or education and what role does entrepreneurship play in upward mobility in societies globally? What are the unique issues involved in creating a successful startup in Europe, Latin America, Africa, China or India? What is entrepreneurial leadership in a venture that spans country borders? Is Silicon Valley-style entrepreneurship possible in other places? How does an entrepreneur act differently when creating a company in a less-developed institutional environment? Learn through forming teams, a mentor-guided startup project focused on developing students' startups in international markets, case studies, research on the unequal access to wealth creation and innovation via entrepreneurship, while also networking with top entrepreneurs and venture capitalists who work across borders.",3-4,Letter (ABCD/NP),LEC,"Tuesday, Thursday",10:30:00 AM - 12:20:00 PM,Thornton 102,Charles Eesley; Baani Leen Kaur Jolly; Zhou Sha; Katharina Rohr; Vimbayi Kajese,No
MS&E276,Entrepreneurial Management and Finance,,"For graduate students only. Emphasis on managing high-growth, early-stage ventures, especially those with technology-intensive products and services. Students work in teams to develop skills and approaches necessary to becoming effective entrepreneurial leaders and managers. Key topics involve ethical decision-making when assessing risks, understanding business models, analyzing key operational metrics, modeling cash flow and capital requirements, evaluating sources of financing, structuring and negotiating investments, managing organizational culture and incentives, navigating the trade-offs between control versus growth objectives, and handling adversity and failure. Limited enrollment with admission by an application for all matriculated students (full-time, part-time, and remote) due March 15th: application link to be provided in February 2025. Admission results will be provided prior to start of quarter. Pre-requisite or Co-requisite: a college-level financial accounting course (e.g. MS&amp;E 240) or equivalent.",3,Letter or Credit/No Credit,LEC,Thursday,1:30:00 PM - 4:20:00 PM,Thornton 102,Trevor Loy; Seyedeh Zahra Hejrati; Anushikha Anushikha,Yes
MS&E277B,Entrepreneurial Leadership,,"This Winter and Spring course sequence is part of the STVP Accel Leadership Program and explores how to lead entrepreneurial ventures including establishing startup strategy, forming organizational culture and effective team structures, securing resources, and building operating models that scale. Teams formulate a case study with a current startup CEO/senior executive that tackles a real-world business problem for their high-growth venture, and present the case on the challenge and the potential paths to resolution. The selection process for the Accel Leadership Program runs during the Autumn fall quarter each year; applications are available at https://stvp.stanford.edu/students.",2-3,Letter (ABCD/NP),WKS,Wednesday,9:30:00 AM - 11:20:00 AM,,Mo-Yun Fong; Kenny Oseleononmen; Anna Katharina Sulzer; Tom Byers,No
MS&E280,Organizational Behavior: Evidence in Action,,"Organization theory; concepts and functions of management; behavior of the individual, work group, and organization. Emphasis is on cases and related discussion. Limited enrollment.",3-4,Letter (ABCD/NP),LEC,"Monday, Wednesday",9:30:00 AM - 11:20:00 AM,Thornton 102,Rosanne Siino; Amanda Pratt; Danielle Amir-Lobel; Andrew Tidd; Pamela Hinds,No
MS&E289,Ethics in Global Technology Design,,"Building a successful business requires more than a great idea; every new for-profit venture must address significant policy, ethical, and legal considerations as it builds products for global markets. Using interactive presentations, analysis of current events, input from established experts, and practical tools and frameworks, this course equips students to make these challenging choices. Students learn the intricacies of different business functions and how they uniquely analyze issues.  We navigate policy problem solving within a corporation by examining trade-offs and cost-benefit analyses of technology product design. Representative topics that may be covered include: creation and maintenance of company values and their impact on policy decisions; how different interpretations of the same law result in different commercial outcomes; privacy considerations; trust and safety concerns; national security implications; dark patterns and deceptive marketing; role of government policy and politics; and corporate social responsibility programs in theory and in practice.",3,Letter or Credit/No Credit,LEC,"Tuesday, Thursday",10:30:00 AM - 11:50:00 AM,,Deepti Rohatgi,No
MS&E297,"""Hacking for Defense"": Solving National Security issues with the Lean Launchpad",,"In a crisis, national security initiatives move at the speed of a startup yet in peacetime they default to decades-long acquisition and procurement cycles. Startups operate with continual speed and urgency 24/7. Over the last few years they've learned how to be not only fast, but extremely efficient with resources and time using lean startup methodologies. In this class student teams will take actual national security problems and learn how to apply lean startup principles, (&quot;business model canvas,&quot; &quot;customer development,&quot; and &quot;agile engineering) to discover and validate customer needs and to continually build iterative prototypes to test whether they understood the problem and solution. Teams take a hands-on approach requiring close engagement with actual military, Department of Defense and other government agency end-users. Team applications required in February, see hacking4defense.stanford.edu. Limited enrollment.",3-5,Letter (ABCD/NP),LEC,Tuesday,5:30:00 PM - 8:20:00 PM,,Joe Felter; Steve Blank; Steve Weinstein,No
MS&E301,Dissertation Research,,Prerequisite: doctoral candidacy.,1-10,Satisfactory/No Credit,T/D,, - ,,Irene Lo,No
